heure,date,o3,cellA,cellB,benchT,lampT,o3lamp,flowA,flowB,pression
23:16,06-01-26,5.491,116007,118134,31.7,52.8,67.1,0.750,0.711,752.0
23:16,06-01-26,5.671,116087,118085,31.7,52.9,67.5,0.753,0.711,751.7
23:16,06-01-26,5.650,115849,117290,31.4,52.4,67.4,0.746,0.719,752.1
23:16,06-01-26,5.795,115945,117737,31.7,53.1,67.0,0.748,0.709,751.5
23:16,06-01-26,5.343,115830,118137,31.5,53.0,67.4,0.744,0.721,751.7
23:16,06-01-26,5.192,115994,117855,31.4,52.9,67.3,0.754,0.709,751.8
23:16,06-01-26,5.238,116127,117692,31.5,52.8,67.0,0.744,0.709,751.6
23:16,06-01-26,5.556,115894,118010,31.5,52.7,67.5,0.749,0.715,752.0
23:17,06-01-26,5.769,116261,117515,31.9,52.7,67.1,0.746,0.723,751.9
23:17,06-01-26,5.319,115560,117886,31.7,52.6,67.5,0.746,0.716,751.7
23:17,06-01-26,6.053,115609,118408,31.5,53.0,67.2,0.749,0.712,752.2
23:17,06-01-26,5.769,115536,118195,31.7,52.9,67.1,0.748,0.721,752.4
